user_id,total_orders,avg_order_value_x,favorite_cuisine,price_sensitivity,avg_rating_given_x,dietary_preference,preferred_meal_time,location_lat,location_lon,days_since_last_order,order_count,avg_order_value_y,order_value_std,total_spent,avg_delivery_time,avg_rating_given_y,unique_restaurants,most_ordered_cuisine,cuisine_diversity,days_since_first_order,user_segment,price_preference_score,dietary_preference_encoded,favorite_cuisine_encoded
user_000000,19,386.97,North Indian,medium,4.5,non_veg,dinner,28.4528,77.2077,0,19,448.20789473684215,194.68189297127043,8515.95,37.73684210526316,4.636842105263158,16,North Indian,0.3157894736842105,179,casual,2.5,2,9
user_000001,2,651.82,Healthy,high,4.6,veg,dinner,28.5536,77.0965,0,2,460.125,242.16285935295696,920.25,43.5,4.4,2,Italian,1.0,126,casual,3.5,1,7
user_000002,8,460.64,Street Food,medium,4.8,veg,lunch,28.5268,77.0706,2,8,609.92375,254.6302872759136,4879.39,33.125,4.7625,8,South Indian,0.75,169,casual,2.5,1,11
user_000003,1,241.13,Desserts,medium,4.5,no_preference,lunch,28.6494,77.1884,36,1,231.04,,231.04,54.0,4.0,1,North Indian,1.0,86,casual,2.5,0,5
user_000004,10,323.01,North Indian,medium,4.2,non_veg,dinner,28.6162,77.2725,9,10,359.119,157.71082823742105,3591.19,36.4,4.279999999999999,8,Italian,0.6,163,casual,2.5,2,9
user_000005,4,160.42,Healthy,medium,4.8,non_veg,lunch,28.4481,77.2028,2,4,167.88,74.54417526988053,671.52,45.75,4.7,3,Street Food,0.75,64,casual,2.5,2,7
user_000006,20,321.43,Italian,medium,4.3,vegan,dinner,28.5809,77.1071,4,20,338.4805,120.00146233648462,6769.61,30.75,4.34,14,Italian,0.25,176,regular,2.5,3,8
user_000007,5,191.76,Street Food,high,4.3,non_veg,breakfast,28.5539,77.2527,13,5,130.144,55.26137014226123,650.72,37.4,4.46,4,Chinese,0.6,116,casual,3.5,2,11
user_000008,1,485.56,Street Food,high,4.9,non_veg,dinner,28.4163,77.18,4,1,446.74,,446.74,44.0,5.0,1,Healthy,1.0,65,casual,3.5,2,11
user_000009,35,150.0,Biryani,high,4.9,non_veg,dinner,28.6358,77.0757,2,35,130.90628571428573,37.57658227937074,4581.72,39.65714285714286,4.82,25,Chinese,0.22857142857142856,173,regular,3.5,2,1
user_000010,1,181.34,Biryani,medium,4.7,veg,breakfast,28.45,77.1048,9,1,86.06,,86.06,25.0,5.0,1,Fast Food,1.0,103,casual,2.5,1,1
user_000011,3,329.92,Italian,high,4.3,non_veg,lunch,28.5104,77.0676,1,3,292.8433333333333,100.66420432970865,878.53,31.666666666666668,4.033333333333333,3,Chinese,0.6666666666666666,155,casual,3.5,2,8
user_000012,14,150.0,Desserts,medium,4.1,non_veg,dinner,28.5333,77.2589,14,14,161.8135714285714,70.1247480299483,2265.39,37.714285714285715,4.128571428571428,11,North Indian,0.42857142857142855,169,casual,2.5,2,5
user_000013,1,594.26,Biryani,high,4.6,non_veg,lunch,28.5762,77.1394,37,1,700.18,,700.18,38.0,4.9,1,Beverages,1.0,178,casual,3.5,2,1
user_000014,25,271.2,Continental,low,4.7,non_veg,snacks,28.6472,77.2922,27,25,399.5852,125.19019417536929,9989.63,35.08,4.692,18,North Indian,0.28,174,regular,1.5,2,4
user_000015,1,475.89,Chinese,low,4.4,non_veg,dinner,28.6526,77.0263,22,1,447.01,,447.01,28.0,4.5,1,Chinese,1.0,132,casual,1.5,2,3
user_000016,2,150.0,South Indian,low,4.7,vegan,breakfast,28.6003,77.2381,2,2,191.31,64.81340756355893,382.62,33.0,4.6,2,Cafe,1.0,143,casual,1.5,3,10
user_000017,6,339.49,Desserts,high,4.4,non_veg,breakfast,28.4035,77.0306,11,6,348.9766666666667,37.773412166054925,2093.86,43.5,4.433333333333334,3,North Indian,0.5,154,casual,3.5,2,5
user_000018,4,310.03,Fast Food,medium,4.6,no_preference,dinner,28.6165,77.0476,1,4,279.9075,10.911731836269947,1119.63,48.75,4.45,3,Healthy,0.75,173,casual,2.5,0,6
user_000019,11,525.32,North Indian,medium,4.1,veg,lunch,28.5207,77.1948,1,11,593.5072727272727,176.83057066530714,6528.58,41.54545454545455,4.072727272727272,5,Chinese,0.36363636363636365,173,casual,2.5,1,9
user_000020,1,541.45,Cafe,high,3.6,veg,snacks,28.5302,77.2322,4,1,592.72,,592.72,38.0,3.9,1,Fast Food,1.0,61,casual,3.5,1,2
user_000021,10,150.0,Biryani,high,4.5,veg,lunch,28.449,77.2891,8,10,109.772,47.77072111194843,1097.72,42.7,4.57,7,North Indian,0.5,178,casual,3.5,1,1
user_000022,11,246.94,Biryani,medium,4.8,non_veg,dinner,28.4438,77.0502,2,11,223.4409090909091,92.04671547149798,2457.85,41.27272727272727,4.690909090909091,8,Chinese,0.45454545454545453,170,casual,2.5,2,1
user_000023,15,486.59,South Indian,medium,4.7,veg,lunch,28.499,77.0666,8,15,684.328,253.35616266434099,10264.92,35.0,4.693333333333333,11,South Indian,0.4666666666666667,172,casual,2.5,1,10
user_000024,1,216.98,Italian,low,4.7,veg,dinner,28.4008,77.0742,0,1,238.3,,238.3,41.0,4.7,1,Chinese,1.0,59,casual,1.5,1,8
user_000025,1,191.27,Desserts,low,4.8,no_preference,lunch,28.5594,77.1658,7,1,174.64,,174.64,20.0,4.9,1,Chinese,1.0,155,casual,1.5,0,5
user_000026,2,334.41,Healthy,medium,4.3,veg,dinner,28.6012,77.0066,4,2,385.375,91.12485089151038,770.75,41.0,4.2,2,Italian,0.5,120,casual,2.5,1,7
user_000027,1,642.97,North Indian,medium,4.5,veg,dinner,28.4303,77.0976,1,1,715.27,,715.27,32.0,4.6,1,Chinese,1.0,174,casual,2.5,1,9
user_000028,1,405.74,Italian,medium,4.4,non_veg,dinner,28.6458,77.1289,0,1,492.13,,492.13,45.0,4.0,1,Italian,1.0,71,casual,2.5,2,8
user_000029,2,395.5,Biryani,high,4.1,non_veg,lunch,28.6604,77.2011,52,2,228.64999999999998,9.206530291048846,457.29999999999995,38.5,4.4,1,Italian,0.5,176,casual,3.5,2,1
user_000030,5,319.81,Street Food,medium,4.3,non_veg,breakfast,28.5462,77.0574,0,5,366.252,69.69932438696947,1831.26,41.6,4.16,3,North Indian,0.6,174,casual,2.5,2,11
user_000031,128,384.63,Cafe,medium,4.4,no_preference,lunch,28.592,77.1521,3,128,456.26390625,168.0035123144019,58401.78,36.03125,4.3890625,85,Italian,0.09375,178,power_user,2.5,0,2
user_000032,8,274.65,North Indian,low,4.7,non_veg,lunch,28.411,77.1844,13,8,353.4275,96.44659273401005,2827.42,45.875,4.7125,3,Desserts,0.375,146,casual,1.5,2,9
user_000033,36,503.59,Continental,high,4.6,veg,dinner,28.4207,77.1865,2,36,414.71444444444444,132.91383059162683,14929.72,34.94444444444444,4.638888888888889,26,Chinese,0.2222222222222222,171,regular,3.5,1,4
user_000034,4,150.0,Desserts,high,4.6,non_veg,lunch,28.5206,77.2657,14,4,125.465,29.062229210207988,501.86,37.5,4.7,4,Street Food,0.75,159,casual,3.5,2,5
user_000035,8,473.86,Cafe,medium,4.9,non_veg,dinner,28.665,77.0129,33,8,544.215,151.75630982410112,4353.72,40.125,4.775,6,Italian,0.5,154,casual,2.5,2,2
user_000036,3,452.43,South Indian,high,4.8,non_veg,snacks,28.4788,77.054,12,3,270.47999999999996,110.24640583710655,811.4399999999999,33.666666666666664,4.866666666666666,3,Fast Food,0.6666666666666666,172,casual,3.5,2,10
user_000037,112,443.78,Biryani,medium,4.9,non_veg,lunch,28.6519,77.2028,26,112,495.7576785714286,206.21312619759212,55524.86,35.267857142857146,4.769642857142857,71,South Indian,0.09821428571428571,179,power_user,2.5,2,1
user_000038,1,300.46,Biryani,high,4.9,non_veg,breakfast,28.4462,77.2521,34,1,261.41,,261.41,38.0,4.7,1,Cafe,1.0,169,casual,3.5,2,1
user_000039,2,709.61,Street Food,high,4.7,non_veg,snacks,28.5324,77.053,15,2,742.755,38.38882715061764,1485.51,34.0,5.0,2,Street Food,0.5,32,casual,3.5,2,11
user_000040,11,538.18,Italian,medium,4.6,non_veg,lunch,28.5617,77.1298,19,11,673.069090909091,416.17478766630126,7403.76,43.63636363636363,4.572727272727272,5,Italian,0.36363636363636365,177,casual,2.5,2,8
user_000041,5,150.0,North Indian,low,4.4,vegan,snacks,28.6955,77.1827,20,5,147.726,19.11744700528814,738.63,40.0,4.5600000000000005,3,North Indian,0.6,174,casual,1.5,3,9
user_000042,2,432.96,Chinese,medium,4.6,no_preference,snacks,28.5768,77.0017,2,2,330.045,179.28692436984912,660.09,33.5,4.65,2,Chinese,1.0,143,casual,2.5,0,3
user_000043,14,377.51,Biryani,low,4.6,veg,dinner,28.6812,77.143,1,14,435.2092857142857,116.36266110505787,6092.93,34.642857142857146,4.642857142857143,9,Desserts,0.5714285714285714,174,casual,1.5,1,1
user_000044,4,284.94,Healthy,low,4.4,non_veg,breakfast,28.6016,77.2384,17,4,273.09,56.63341534229887,1092.36,45.75,4.35,2,Continental,0.5,155,casual,1.5,2,7
user_000045,4,186.58,Street Food,medium,5.0,veg,breakfast,28.5441,77.1322,16,4,243.04,118.41023914059684,972.16,47.0,5.0,2,Healthy,0.5,152,casual,2.5,1,11
user_000046,5,283.91,Continental,medium,4.6,vegan,dinner,28.4319,77.0077,0,5,351.73199999999997,115.46183339095218,1758.6599999999999,36.2,4.66,4,Fast Food,0.8,151,casual,2.5,3,4
user_000047,1,392.62,Continental,medium,4.5,no_preference,breakfast,28.5835,77.2682,2,1,471.32,,471.32,27.0,4.1,1,Italian,1.0,146,casual,2.5,0,4
user_000048,1,804.58,Continental,medium,4.9,non_veg,dinner,28.4774,77.2279,67,1,687.27,,687.27,29.0,4.8,1,North Indian,1.0,52,casual,2.5,2,4
user_000049,16,722.6,Fast Food,high,4.5,non_veg,lunch,28.6347,77.0202,1,16,629.321875,179.86034279291064,10069.15,36.875,4.5,12,Fast Food,0.375,172,casual,3.5,2,6
user_000050,1,496.89,Continental,low,4.4,non_veg,lunch,28.5924,77.2227,10,1,852.88,,852.88,38.0,4.4,1,Continental,1.0,140,casual,1.5,2,4
user_000051,3,285.9,North Indian,medium,4.5,non_veg,lunch,28.4697,77.0216,7,3,416.5466666666666,103.15291674661135,1249.6399999999999,44.0,4.833333333333333,2,South Indian,0.6666666666666666,161,casual,2.5,2,9
user_000052,31,380.35,North Indian,high,4.8,non_veg,lunch,28.5321,77.0191,38,31,292.57548387096773,95.44253188310789,9069.84,39.483870967741936,4.703225806451614,23,North Indian,0.16129032258064516,179,regular,3.5,2,9
user_000053,4,456.93,South Indian,medium,4.5,no_preference,snacks,28.4817,77.1575,24,4,536.27,169.957520378868,2145.08,32.0,4.625,4,South Indian,0.75,163,casual,2.5,0,10
user_000054,3,290.31,Cafe,high,4.5,no_preference,dinner,28.5731,77.2567,16,3,289.06,32.69657321494105,867.1800000000001,36.0,4.6000000000000005,2,North Indian,0.6666666666666666,78,casual,3.5,0,2
user_000055,13,178.73,Italian,high,4.6,veg,dinner,28.4869,77.2366,30,13,158.81923076923078,41.55781403890618,2064.65,32.53846153846154,4.630769230769231,9,South Indian,0.38461538461538464,168,casual,3.5,1,8
user_000056,2,703.8,Italian,low,4.8,non_veg,dinner,28.5541,77.1597,6,2,1226.375,446.26216067464196,2452.75,46.0,4.75,2,Biryani,1.0,108,casual,1.5,2,8
user_000057,18,438.65,Chinese,medium,4.5,non_veg,dinner,28.4544,77.1966,23,18,522.2127777777778,242.0161738592632,9399.83,33.611111111111114,4.522222222222222,16,Chinese,0.3888888888888889,171,casual,2.5,2,3
user_000058,12,759.53,Beverages,high,4.4,non_veg,dinner,28.4007,77.171,3,12,705.7433333333333,118.21620772845394,8468.92,35.666666666666664,4.491666666666666,8,South Indian,0.3333333333333333,158,casual,3.5,2,0
user_000059,40,150.0,Desserts,low,4.6,no_preference,dinner,28.6296,77.2448,2,40,187.09475,61.50673634099368,7483.79,41.275,4.5575,23,North Indian,0.25,179,regular,1.5,0,5
user_000060,1,862.75,Beverages,low,4.1,veg,lunch,28.5295,77.2657,14,1,800.79,,800.79,47.0,3.6,1,Italian,1.0,126,casual,1.5,1,0
user_000061,23,603.89,Fast Food,high,4.9,no_preference,lunch,28.6158,77.0873,10,23,544.7260869565217,134.02962402323703,12528.7,37.04347826086956,4.804347826086956,16,North Indian,0.2608695652173913,178,regular,3.5,0,6
user_000062,8,167.39,Healthy,high,4.0,non_veg,dinner,28.641,77.1242,6,8,99.68,34.95785952911223,797.44,32.25,3.95,5,Chinese,0.5,175,casual,3.5,2,7
user_000063,1,265.96,Italian,high,4.3,non_veg,dinner,28.6398,77.2253,2,1,264.71,,264.71,54.0,4.1,1,North Indian,1.0,89,casual,3.5,2,8
user_000064,1,771.08,Fast Food,low,4.6,non_veg,dinner,28.4648,77.2315,21,1,1686.6,,1686.6,40.0,5.0,1,Fast Food,1.0,33,casual,1.5,2,6
user_000065,1,230.95,Continental,low,4.8,veg,dinner,28.4026,77.0836,0,1,277.51,,277.51,49.0,4.8,1,Street Food,1.0,174,casual,1.5,1,4
